Time,Actual Shipment,Desired Shipment,Production Start,Desired Production Start,Actual WIP,Desired WIP,Actual Production,Desired Production,Actual Inventory,Desired Inventory
21.3,12294.02105,12108.51418,12512.54198,12512.54198,103502.2698,102821.883,13046.72987,12852.73538,38089.53424,46970.47241
21.4,12288.59534,12108.70192,12504.74244,12504.74244,103448.851,102766.6687,13044.76775,12845.83359,38183.35581,46983.34151
21.5,12283.16024,12108.87112,12497.06753,12497.06753,103394.8485,102711.1868,13042.56674,12838.89835,38276.96239,46996.04974
21.6,12277.71669,12109.02145,12489.5166,12489.5166,103340.2986,102655.4654,13040.13384,12831.93318,38370.33196,47008.59912
21.7,12272.26562,12109.15262,12482.08889,12482.08889,103285.2368,102599.5317,13037.47593,12824.94146,38463.44319,47020.99163
21.8,12266.80798,12109.2644,12474.78355,12474.78355,103229.6981,102543.4122,13034.59984,12817.92652,38556.27553,47033.22923
21.9,12261.34476,12109.35661,12467.59959,12467.59959,103173.7165,102487.1325,13031.51228,12810.89157,38648.80907,47045.31387
22,12255.87693,12109.42909,12460.53595,12460.53595,103117.3252,102430.7177,13028.21989,12803.83971,38741.02464,47057.24745
22.1,12250.40548,12109.48173,12453.59148,12453.59148,103060.5568,102374.1918,13024.72922,12796.77398,38832.90372,47069.03185
22.2,12244.93139,12109.51448,12446.76497,12446.76497,103003.4431,102317.5784,13021.04672,12789.6973,38924.42847,47080.66895
22.3,12239.45567,12109.52729,12440.05511,12440.05511,102946.0149,102260.9001,13017.17876,12782.61251,39015.58169,47092.16059
22.4,12233.9793,12109.52016,12433.46056,12433.46056,102888.3025,102204.1789,13013.13164,12775.52236,39106.34684,47103.50859
22.5,12228.5033,12107.8557,12426.97992,12426.97992,102830.3354,102147.4362,13008.91153,12768.42952,39196.70799,47114.71473
22.6,12223.11051,12105.2009,12420.50938,12420.50938,102772.1423,102090.5288,13004.52453,12761.3161,39286.81357,47125.78079
22.7,12217.85047,12102.66257,12413.99193,12413.99193,102713.7407,102033.3797,12999.97666,12754.17246,39376.74593,47136.70853
22.8,12212.71734,12100.23471,12407.44243,12407.44243,102655.1423,101976.0217,12995.27384,12747.00271,39466.47734,47147.49968
22.9,12207.7056,12097.91163,12400.87453,12400.87453,102596.3591,101918.4865,12990.42188,12739.81082,39555.98125,47158.15593
23,12202.81002,12095.68793,12394.30072,12394.30072,102537.4044,101860.8047,12985.4265,12732.60058,39645.23228,47168.67898
23.1,12198.02562,12093.55847,12387.73244,12387.73244,102478.2918,101803.0053,12980.29331,12725.37567,39734.20613,47179.07049
23.2,12193.3477,12091.5184,12381.18009,12381.18009,102419.0357,101745.1167,12975.02779,12718.13959,39822.87962,47189.33211
23.3,12188.77178,12089.56308,12374.65317,12374.65317,102359.651,101687.1658,12969.63532,12710.89573,39911.23056,47199.46546
23.4,12184.29363,12087.68814,12368.16029,12368.16029,102300.1527,101629.1786,12964.12114,12703.64733,39999.23778,47209.47214
23.5,12179.90922,12085.88942,12361.70926,12361.70926,102240.5567,101571.1801,12958.49038,12696.39752,40086.88108,47219.35374
23.6,12175.61475,12084.16295,12355.30716,12355.30716,102180.8785,101513.1943,12952.74805,12689.14929,40174.14118,47229.11182
23.7,12171.4066,12082.505,12348.96032,12348.96032,102121.1345,101455.2441,12946.89901,12681.90551,40260.99969,47238.74792
23.8,12167.28135,12080.91201,12342.67448,12342.67448,102061.3406,101397.3516,12940.94803,12674.66895,40347.43909,47248.26357
23.9,12163.23575,12079.3806,12336.45473,12336.45473,102001.5132,101339.5381,12934.89974,12667.44227,40433.44269,47257.66028
